,Director,Actor_list
5634,Jonathan Parker,Shin'ichi Tsutsumi
5635,Curt Geda,Damien Wayne Echols
5636,Takashi Miike,Gérard Depardieu
5637,Ben Hopkins,Rachel Anton
5638,SABU,Luke de Woolfson
5639,Joe BerlingerBruce Sinofsky,Barry Pepper
5640,Alain Chabat,Lee Yeong-ae
5641,Karen DisherGuy Moore,John Malkovich
5642,Saul Metzstein,Fares Fares
5643,Billy Crystal,Tilda Swinton
5644,Park Chan-Wook,Jackie Chan
5645,Liliana Cavani,Anna Paquin
5646,Josef Fares,Yûki Kudô
5647,Lynn Hershman-Leeson,Vincent Cassel
5648,Teddy Chan,Mila Kunis
5649,Jaume Balagueró,Sacha Baron Cohen
5650,Hiroyuki Kitakubo,Shô Aikawa
5651,Jan Kounen,Kari Matchett
5652,Morgan J. Freeman,Haruhiko Katô
5653,Mark Mylod,Maria Hofstätter
5654,Takashi Miike,Tae-Hyun Cha
5655,Andrzej Sekula,David Hewlett
5656,Kiyoshi Kurosawa,Brenda Blethyn
5657,Ulrich Seidl,Shô Aikawa
5658,Jae-young Kwak,Paul Spence
5659,Vincenzo Natali,Kenji Sawada
5660,Nick Hurran,Ray Wise
5661,Takashi Miike,Kang-ho Song
5662,Michael Dowse,Phil Caracas
5663,Takashi Miike,Ryo Ishibashi
5664,Jean-Baptiste AndreaFabrice Canepa,Edward James Olmos
5665,Park Chan-Wook,Edward Burns
5666,Lee Demarbre,Nathan Lane
5667,Sion Sono,Sol Kyung-gu
5668,Edward James OlmosMary McDonnellKatee Sackhoff,Fabrizio Bentivoglio
5669,Peter Hyams,Kevin Michael Richardson
5670,Bradley Raymond,Vincent Gallo
5671,Chang-dong Lee,Yûrei Yanagi
5672,Gabriele Muccino,Henry Thomas
5673,Peter Chung(segment Matriculated)Andrew R. Jones(segment Final Flight of the Osiris)Yoshiaki Kawajiri(segment Program),Michael Gross
5674,Vincent Gallo,Anne Judson-Yager
5675,Takashi Shimizu,Jean Reno
5676,Greg Marcks,Antonio Banderas
5677,S.S. Wilson,Diego Luna
5678,Damon Santostefano,Tatsuya Fujiwara
5679,Olivier Dahan,Jean-Claude Van Damme
5680,Bruce Beresford,Jim Carrey
5681,Hugo Rodríguez,Emilia Fox
5682,Kenta FukasakuKinji Fukasaku,Nikolaj Lie Kaas
5683,Ringo Lam,Audrey Tautou
5684,Brad Silberling,Tadanobu Asano
5685,Emilia FoxJames CallisDaniel Lapaine,Akio Ôtsuka
5686,Anders Thomas Jensen,Chizuru Ikewaki
5687,Jean-Pierre Jeunet,Hiroyuki Sanada
5688,Pen-Ek Ratanaruang,Giovanna Mezzogiorno
5689,Mamoru Oshii,Emily Perkins
5690,Hiroyuki Morita,Rob Lowe
5691,Yôji Yamada,Mark Hamill
5692,Ferzan Ozpetek,Sandrine Bonnaire
5693,Brett Sullivan,Vera Farmiga
5694,Rob LoweAndre BraugherDonald Sutherland,Megumi Okina
5695,Mark Hamill,Choi Min-sik
5696,Patrice Leconte,Jean-Pierre Darroussin
5697,Debra Granik,Katharine Isabelle
5698,Takashi Shimizu,Ko Shibasaki
5699,Park Chan-Wook,Adrien Brody
5700,Cédric Kahn,Alex Etel
5701,Grant Harvey,Billy Brown
5702,Takashi Miike,Tony Jaa
5703,John Maybury,Edison Chen
5704,Danny Boyle,Javier Bardem
5705,Phil Tippett,Adam Sandler
5706,Prachya Pinkaew,Gérard Jugnot
5707,Andrew LauAlan Mak,Corbin Allred
5708,Alejandro Amenábar,Janchiv Ayurzana
5709,James L. Brooks,Nicole Kidman
5710,Christophe Barratier,Blanchard Ryan
5711,Ryan Little,Jimi Mistry
5712,Byambasuren DavaaLuigi Falorni,Christin Ackerman
5713,Sydney Pollack,Jim Caviezel
5714,Chris Kentis,Daniel Craig
5715,Ian Iqbal Rashid,Vladimir Garin
5716,John Landis,Dennis Quaid
5717,Rowdy Herrington,Rory Culkin
5718,Matthew Vaughn,Naomi Watts
5719,Andrey Zvyagintsev,Mikela Jay
5720,John Moore,Andreas Bichlbauer
5721,Jacob Estes,Aya Ueto
5722,Hideo Nakata,Matthew Macfadyen
5723,Mark AchbarJennifer Abbott,Jang Dong-Gun
5724,Dan OllmanSarah PriceChris Smith,James Hetfield
5725,Ryûhei Kitamura,Kochi
5726,Brad McGann,Anton Newcombe
5727,Je-kyu Kang,Laird Hamilton
5728,Joe BerlingerBruce Sinofsky,Marlee Matlin
5729,Zana BriskiRoss Kauffman,Keanu Reeves
5730,Ondi Timoner,Yûsuke Iseya
5731,Stacy Peralta,Douglas Cheek
5732,William ArntzBetsy ChasseMark Vicente,Hilary Swank
5733,Richard Linklater,Yûta Sone
5734,Kazuaki Kiriya,Don Cheadle
5735,Robert Greenwald,Johnny Depp
5736,Clint Eastwood,Seung-Yun Lee
5737,Takashi Miike,Bill Murray
5738,Terry George,Leonardo DiCaprio
5739,Tim Burton,Gerard Butler
5740,Kim Ki-duk,Kevin Spacey
5741,Wes Anderson,Kevin Bacon
5742,Martin Scorsese,Dennis Quaid
5743,Joel Schumacher,Ben Stiller
5744,Kevin Spacey,Sean Penn
5745,Nicole Kassell,Scarlett Johansson
5746,Paul Weitz,Al Pacino
5747,Jay Roach,Kenan Thompson
5748,Niels Mueller,Kim Rossi Stuart
5749,Shainee Gabel,Henry Darger
5750,Michael Radford,Michael Keaton
5751,Joel Zwick,Joan Allen
5752,Gianni Amelio,Walter Matthau
5753,Jessica Yu,Alan Alda
5754,Geoffrey Sax,Irene Dunne
5755,Mike Binder,Treat Williams
5756,Walter Bernstein,John Lithgow
5757,Alan Alda,Jack Nicholson
5758,George Stevens,Bunta Sugawara
5759,Joyce Chopra,Thomas Jane
5760,Malcolm Mowbray,Sigourney Weaver
5761,Bob Rafelson,Gary Cooper
5762,Kinji Fukasaku,Gérard Depardieu
5763,Bronwen Hughes,Bob Holt
5764,Dan Harris,Geoffrey Rush
5765,Howard Hawks,Ai Kobayashi
5766,Francis Veber,Sebastian Cabot
5767,Ralph Bakshi,Jennifer Garner
5768,Stephen Hopkins,Frankie Muniz
5769,Shinji Aramaki,Samuel L. Jackson
5770,John LounsberyWolfgang ReithermanBen Sharpsteen(earlier cartoon clips),Spencer Tracy
5771,Rob Bowman,Dick Powell
5772,Frederik Du Chau,Alain Delon
5773,Thomas Carter,Kang-ho Song
5774,Norman Taurog,Charlie Sheen
5775,Busby Berkeley,Bruno Ganz
5776,Luchino Visconti,Ethan Hawke
5777,Bong Joon Ho,Ice Cube
5778,Adam Rifkin,Christian Slater
5779,Oliver Hirschbiegel,Robert De Niro
5780,Jean-François Richet,Barry Watson
5781,Brian Levant,Dermot Mulroney
5782,Uwe Boll,James McAvoy
5783,John Polson,Yûya Yagira
5784,Stephen Kay,Matt Dillon
5785,Clare Kilner,Hanna Schygulla
5786,Damien O'Donnell,André Bervil
5787,Hirokazu Koreeda,Robert Patrick
5788,Mitch Rouse,Jean Gabin
5789,Rainer Werner Fassbinder,Ziyi Zhang
5790,Jacques Becker,Charlton Heston
5791,James Yukich,Chieko Baishô
5792,Jacques Becker,Anna Paquin
5793,Ye Lou,Jackie Chan
5794,Anthony Mann,Will Smith
5795,Hayao Miyazaki,Joe Mantegna
5796,Katsuhiro Ôtomo,Martin Henderson
5797,Vincent Kok,Keanu Reeves
5798,Andy Tennant,Jamie Kennedy
5799,Robert Shallcross,AnnaSophia Robb
5800,Gurinder Chadha,Soran Ebrahim
5801,Francis Lawrence,Keir Dullea
5802,Lawrence Guterman,Konstantin Khabenskiy
5803,Wayne Wang,Stan Laurel
5804,Bahman Ghobadi,Tommy Lee Jones
5805,Otto Preminger,Stephen Chow
5806,Timur Bekmambetov,Anna Geislerová
5807,William A. Seiter,Larry Drake
5808,Stephen Herek,Alan Arkin
5809,Stephen Chow,Oliver Reed
5810,Ondrej Trojan,Malcolm McDowell
5811,Manny Coto,Sándor Csányi
5812,Herbert Ross,Edmund Moeschke
5813,Richard Lester,Kimberly Elise
5814,Richard Lester,Christina Ricci
5815,Nimród Antal,Vin Diesel
5816,Roberto Rossellini,John Travolta
5817,Darren Grant,Bryant Davis
5818,Wes Craven,Bruce Willis
5819,Adam Shankman,Ewan McGregor
5820,F. Gary Gray,Gene Hackman
5821,Petra EpperleinMichael Tucker,Laura La Plante
5822,Florent-Emilio Siri,George Burns
5823,Chris WedgeCarlos Saldanha,Charlton Heston
5824,Michael Apted,John Barrymore
5825,Paul Leni,Jeanne Moreau
5826,Paul Bogart,Zachary Bennett
5827,Carol Reed,Jane Fonda
5828,Howard Hawks,Lars Brygmann
5829,Louis Malle,Michelle Trachtenberg
5830,Ernie Barbarash,Will Ferrell
5831,Fred Zinnemann,Clint Jordan
5832,Jannik Johansen,Sandra Bullock
5833,Tim Fywell,Ashton Kutcher
5834,Woody Allen,Sara Foster
5835,Joe Maggio,Walter Ray Williams
5836,John Pasquin,Werner Herzog
5837,Kevin Rodney Sullivan,James Stewart
5838,Angela Robinson,Tatsuya Nakadai
5839,Christopher Browne,Sancho Gracia
5840,Zak Penn,Richard Grieco
5841,Henry Hathaway,Michael J. Fox
5842,Kihachi Okamoto,Shinchô Kokontei
5843,Álex de la Iglesia,Til Schweiger
5844,William Dear,Humphrey Bogart
5845,Jonathan Lynn,Feng Hsu
5846,Isao Takahata,Ed Harris
5847,Thomas Jahn,Marc Swint
5848,Michael Curtiz,Mark Bittner
5849,King Hu,Daniel Day-Lewis
5850,Alex Cox,Mickey Rourke
5851,"Amber Lee Connors(english version)Kôji Morimoto(segment 1 ""Magnetic Rose)Tensai Okamura(segment 2 ""Stink Bomb)",Queen Latifah
5852,Judy Irving,Matthew McConaughey
5853,Rebecca Miller,Drew Barrymore
5854,Frank MillerQuentin Tarantino(special guest director)Robert Rodriguez,Robert Downey Jr.
5855,Bille Woodruff,Sabine Azéma
5856,Breck Eisner,Robert Blake
5857,Bobby FarrellyPeter Farrelly,Sophia Loren
5858,Michelangelo Antonioni(segment The Dangerous Thread of Things)Steven Soderbergh(segment Equilibrium)Kar-Wai Wong(segment The Hand),Jean Roberts
5859,Alain Resnais,Sabine Azéma
5860,James William Guercio,Will Friedle
5861,Ettore Scola,Jodie Foster
5862,Frédéric Back,Yukie Nakama
5863,Étienne Chatiliez,Ulrich Thomsen
5864,Gary Preisler,Dorothea Wieck
5865,Nicolas Gessner,Doris Day
5866,Norio Tsuruta,Jacques Tati
5867,Susanne Bier,Nikolay Burlyaev
5868,Leontine SaganCarl Froelich(supervisor),Georges Méliès
5869,Howard Morris,Boris Plotnikov
5870,Jacques Tati,Angela Bettis
5871,Andrei TarkovskyEduard Abalov(fired),Anita Ekberg
5872,Georges Méliès(uncredited),Martin Freeman
5873,Larisa Shepitko,Ryan Reynolds
5874,David Carson,Dan McComas
5875,Vittorio De Sica(segment La riffa)Federico Fellini(segment Le tentazioni del dottor Antonio)Mario Monicelli(segment Renzo e Luciana),Max Riemelt
5876,Garth Jennings,Gene Wilder
5877,Andrew Douglas,Beanie Sigel
5878,Bill Plympton,Jennifer Jason Leigh
5879,Dennis Gansel,Ashton Kutcher
5880,Robert Aldrich,Anthony Anderson
5881,Damon Dash,Kenneth Lay
5882,Todd Solondz,Ice Cube
5883,Nigel Cole,Orlando Bloom
5884,Jeffrey W. Byrd,Chad Michael Murray
5885,Alex Gibney,Don Cheadle
5886,Lee Tamahori,Brady Corbet
5887,Ridley Scott,Doug McKeon
5888,Jaume Collet-Serra,Victoria Abril
5889,Paul Haggis,Clark Gable
5890,Gregg Araki,Kaneto Shiozawa
5891,Mel Damski,Ariane Ascaride
5892,Manuel Gómez Pereira,Groucho Marx
5893,W.S. Van Dyke(uncredited),Jamie Bell
5894,Toyoo Ashida,Encke King
5895,Éléonore Faucher,Jet Li
5896,Robert FloreyJoseph Santley,Hayden Christensen
5897,Thomas Vinterberg,Will Ferrell
5898,Thom Andersen,Jennifer Lopez
5899,Louis Leterrier,Barry Pepper
5900,George Lucas,Marcello Mastroianni
5901,Jesse Dylan,Chris Rock
5902,Robert Luketic,Shane McDermott
5903,Charles Martin Smith,Heather Berman
5904,Pietro Germi,Stellan Skarsgård
5905,Eric DarnellTom McGrath,Adam Sandler
5906,Rob Bowman,Joan Chen
5907,Marilyn Agrelo,Russell Crowe
5908,Paul Schrader,Amber Tamblyn
5909,Peter Segal,Heath Ledger
5910,Alice Wu,Tucker Collins
5911,Ron Howard,Brad Pitt
5912,Ken Kwapis,Cayden Boyd
5913,Catherine Hardwicke,Cécile de France
5914,Don Argott,Paul Kaye
5915,Doug Liman,Lawrence Jordan
5916,Robert Rodriguez,Robert Taylor
5917,Alexandre Aja,Christian Bale
5918,Michael Dowse,Masahiro Matsuoka
5919,Lawrence Jordan,Hilary Duff
5920,Mervyn LeRoyAnthony Mann(uncredited),Adam Butcher
5921,Christopher Nolan,Lindsay Lohan
5922,Ryûhei KitamuraKoji Hashimoto(earlier film clips)Shûsuke Kaneko(earlier film clips),John Leguizamo
5923,Mark Rosman,Nicole Kidman
5924,Michael McGowan,Tommy the Clown
5925,Angela Robinson,John Hawkes
5926,George A. Romero,Guillermo Toledo
5927,Nora Ephron,Bai Ling
5928,David LaChapelle,Daniel Brühl
5929,Miranda July,Burt Reynolds
5930,Álex de la Iglesia,Groucho Marx
5931,Fruit Chan(segment Dumplings)Park Chan-Wook(segment Cut)Takashi Miike(segment Box),Tom Cruise
5932,Hans Weingartner,Morgan Freeman
5933,Henry Winkler,Martin Lawrence
5934,Edward Buzzell,Jennifer Connelly
5935,Steven Spielberg,Romain Duris
5936,Luc Jacquet,Ioan Gruffudd
5937,Steve Carr,Joe Soares
5938,Walter Salles,Owen Wilson
5939,Jacques Audiard,Lisa Kudrow
5940,Tim Story,Terrence Howard
5941,Henry Alex RubinDana Adam Shapiro,Dylan McDermott
5942,David Dobkin,Mark Heap
5943,Don Roos,Scarlett Johansson
5944,Craig Brewer,Billy Bob Thornton
5945,Richard Stanley,Sid Haig
5946,Alex De Rakoff,Michael Pitt
5947,Michael Bay,Courteney Cox
5948,Richard Linklater,Kurt Russell
5949,Rob Zombie,Josh Lucas
5950,Gus Van Sant,Diane Lane
5951,Greg Harrison,George Carlin
5952,Mike Mitchell,James Mason
5953,Rob Cohen,Jean-Claude Van Damme
5954,Gary David Goldberg,Nathan Fillion
5955,Penn JillettePaul Provenza,Bill Murray
5956,Silvio Narizzano,Jackie Chan
5957,Sheldon Lettich,Michael Redgrave
5958,Joss Whedon,Seann William Scott
5959,Jim Jarmusch,Jamie Bell
5960,Jackie Chan,Embeth Davidtz
5961,Anthony Asquith,Rob Schneider
5962,Jay Chandrasekhar,Kate Hudson
5963,Arie Posin,Mark Wahlberg
5964,Phil Morrison,Benjamin Bratt
5965,Mike Bigelow,Evan Rachel Wood
5966,Iain Softley,Timothy Treadwell
5967,John Singleton,Rob Morrow
5968,John Dahl,Mads Mikkelsen
5969,Marcos Siega,Alex Michaeletos
5970,Werner Herzog,Borden Mace
5971,George Bowers,Marlon Brando
5972,Nicolas Winding Refn,Steve Carell
5973,Carroll Ballard,Rachel McAdams
5974,Joy BatchelorJohn Halas,Daniel Auteuil
5975,Daniel Mann,Christian Clavier
5976,Judd Apatow,Stanislav Lyubshin
5977,Wes Craven,Ewan McGregor
5978,Michael Haneke,Matt Damon
5979,Claude Zidi,Michael Showalter
5980,Georgiy Daneliya,Piper Perabo
5981,Gary Chapman,Ralph Fiennes
5982,Terry Gilliam,Jason Statham
5983,Michael Showalter,Reese Witherspoon
5984,Bruce Hunt,Gwyneth Paltrow
5985,Fernando Meirelles,Nicolas Cage
5986,Louis Leterrier,Julian Morris
5987,Mark Waters,Elijah Wood
5988,John Madden,Lou Taylor Pucci
5989,Andrew Niccol,Seth MacFarlane
5990,Jeff Wadlow,Jackie Chan
5991,Liev Schreiber,Jackie Chan
5992,Mike Mills,Groucho Marx
5993,Pete MichelsPeter Shin(supervising),Gore Vidal
5994,Jackie Chan,Karl Urban
5995,Benny Chan,Keira Knightley
5996,Edward Buzzell,Ryan Reynolds
5997,Eugene Jarecki,Charlize Theron
5998,Andrzej Bartkowiak,Jean Rochefort
5999,Tony Scott,Jennifer Lopez
6000,Rob McKittrick,Samuel L. Jackson
6001,Karyn Kusama,Tadanobu Asano
6002,Alain Jessua,Klaus Kinski
6003,Lasse Hallström,Laura Linney
6004,Les Mayfield,Jodie Foster
6005,Gen Sekiguchi,Johnny Depp
6006,Werner Herzog,Elijah Wood
6007,Scott Derrickson,Viggo Mortensen
6008,Robert Schwentke,Barney Clark
6009,Tim BurtonMike Johnson,Shia LaBeouf
6010,Lexi Alexander,Philip Seymour Hoffman
6011,David Cronenberg,Takahiro Sakurai
6012,Roman Polanski,Shad Moss
6013,Bill Paxton,Paul Walker
6014,Bennett Miller,Stephanie Leonidas
6015,Tetsuya NomuraTakeshi Nozue,Peter Sallis
6016,Malcolm D. Lee,Robert Downey Jr.
6017,John Stockwell,Lee Byung-hun
6018,Dave McKean,Grazyna Szapolowska
6019,Steve BoxNick Park,Bette Davis
6020,Shane Black,Elizabeth 'Eliza' Maganga Nsese
6021,Jee-woon Kim,Hringur Ingvarsson
6022,Krzysztof Kieslowski,Bob Dylan
6023,Anatole Litvak,Kuno Becker
6024,Hubert Sauper,Charlie Sheen
6025,Sturla Gunnarsson,Toni Collette
6026,Martin Scorsese,Owen Kline
6027,Danny CannonMichael Winterbottom,Matthew McConaughey
6028,Mike Marvin,Jake Gyllenhaal
6029,Curtis Hanson,Orlando Bloom
6030,Noah Baumbach,Charlize Theron
6031,D.J. Caruso,David Strathairn
6032,Ang Lee,Kurt Russell
6033,Cameron Crowe,Ray Winstone
6034,Niki Caro,Tom Welling
6035,George Clooney,Steve Martin
6036,John Gatins,Ewan McGregor
6037,John Hillcoat,Antonio Banderas
6038,Rupert Wainwright,Nicolas Cage
6039,Anand Tucker,Donnie Wahlberg
6040,Marc Forster,Uma Thurman
6041,Martin Campbell,Penélope Cruz
6042,Gore Verbinski,Eugene Levy
6043,Darren Lynn Bousman,Ryûnosuke Kamiki
6044,Ben Younger,Bryce Dallas Howard
6045,Sergio Castellitto,Jason Statham
6046,Steve Rash,Jake Gyllenhaal
6047,Takashi Miike,Zach Braff
6048,Lars von Trier,Paddy Considine
6049,Guy Ritchie,Diane Kruger
6050,Sam Mendes,Stuart Whitman
6051,Mark Dindal,Kati Outinen
6052,Shane Meadows,Mikijirô Hira
6053,Christian Carion,Ryan Reynolds
6054,William F. Claxton,George Clooney
6055,Aki Kaurismäki,Antti Tarvainen
6056,Hideo Gosha,Clive Owen
6057,Roger Kumble,Franka Potente
6058,Stephen Gaghan,Keira Knightley
6059,Hannu Tuomainen,Mira Furlan
6060,Mikael Håfström,Nathan Phillips
6061,Christopher Smith,Shauna Macdonald
6062,Joe Wright,Daniel Radcliffe
6063,J. Michael Straczynski,Joaquin Phoenix
6064,Greg McLean,Taye Diggs
6065,Neil Marshall,Josh Hutcherson
6066,Mike Newell,Michel Côté
6067,James Mangold,Sarah Silverman
6068,Chris Columbus,Cillian Murphy
6069,Jon Favreau,John Cusack
6070,Jean-Marc Vallée,Dennis Quaid
6071,Liam Lynch,Johnny Depp
6072,Neil Jordan,Tony Musante
6073,Harold Ramis,Scarlett Johansson
6074,Raja Gosnell,Kais Nashif
6075,Laurence Dunmore,Tilda Swinton
6076,Dario Argento,Naomi Watts
6077,Woody Allen,Ziyi Zhang
6078,Hany Abu-Assad,Dermot Mulroney
6079,Andrew Adamson,Anne Hathaway
6080,Peter Jackson,Toshirô Mifune
6081,Rob Marshall,Martin Arrowsmith
6082,Thomas Bezucha,Pierce Brosnan
6083,Barbara Kopple,Lee Scott
6084,Masaki Kobayashi,Josh Hartnett
6085,Shane Meadows,Bourvil
6086,Richard Shepard,Tommy Lee Jones
6087,Robert Greenwald,Eric Bana
6088,Petter Næss,Nathan Lane
6089,Gérard Oury,Felicity Huffman
6090,Tommy Lee Jones,Jennifer Aniston
6091,Steven Spielberg,Steve Martin
6092,Susan Stroman,Jim Carrey
6093,Duncan Tucker,Johnny Knoxville
6094,Rob Reiner,Heath Ledger
6095,Adam Shankman,Judi Dench
6096,Dean Parisot,Jirina Bohdalová
6097,Barry W. Blaustein,N/A
6098,Lasse Hallström,Corbin Bernsen
6099,Stephen Frears,Colin Farrell
6100,Karel Kachyna,Mika Shinohara
6101,John Lasseter,Tony Randall
6102,N/A,Toshirô Mifune
6103,Brian Yuzna,Devon Brown
6104,Terrence Malick,Nam-mi Kang
6105,Makoto Shinkai,Johnny Knoxville
6106,George Pal,Cyril Raffaelli
6107,Kihachi Okamoto,Jay Hernandez
6108,Heidi EwingRachel Grady,Allen Covert
6109,Park Chan-Wook,James Franco
6110,David Caffrey,Josh Lucas
6111,Pierre Morel,Queen Latifah
6112,Eli Roth,Anne Hathaway
6113,Nicholaus Goossen,Kate Beckinsale
6114,Kevin Reynolds,Albert Brooks
6115,James Gartner,Cathy Moriarty
6116,Wayne Wang,Al Pacino
6117,Cory EdwardsTodd Edwards(co-directed by)Tony Leech(co-directed by),Jackie Chan
6118,Len Wiseman,Masahiro Motoki
6119,Albert Brooks,Lisa Ray
6120,Sean McNamara,Julia Jentsch
6121,Hugh Hudson,Anthony Hopkins
6122,Jackie ChanSammo Kam-Bo Hung(uncredited),Penélope Cruz
6123,Takashi Miike,Steve Coogan
6124,Deepa Mehta,Jeremy Davies
6125,Marc Rothemund,James Franco
6126,Roger Donaldson,Martin Lawrence
6127,Joachim RønningEspen Sandberg,Emma Thompson
6128,Michael Winterbottom,Laurence Fishburne
6129,John Gray,Mary Elizabeth Winstead
6130,Justin Lin,Sanaa Lathan
6131,John Whitesell,Dave Chappelle
6132,Kirk Jones,Piper Perabo
6133,Robert Markowitz,Steve Martin
6134,James Wong,Will Ferrell
6135,Sanaa Hamri,Harrison Ford
6136,Michel Gondry,Camilla Belle
6137,Ol Parker,Jessica Biel
6138,Shawn Levy,Julianne Moore
6139,Matthew O'Callaghan,Ed Harris
6140,Richard Loncraine,Paul Walker
6141,Simon West,Alyson Hannigan
6142,Hunter Richards,Paul Walker
6143,Joe Roth,Milla Jovovich
6144,Adam Rapp,Lindsay Lohan
6145,Frank Marshall,Kristen Bell
6146,Aaron SeltzerJason Friedberg(uncredited),Bruce Willis
6147,Wayne Kramer,Matthew McConaughey
6148,Kurt Wimmer,Justin Gross
6149,Donald Petrie,Ray Romano
6150,Jim Sonzero,Colin Farrell
6151,Richard Donner,Hugo Weaving
6152,Tom Dey,Amanda Bynes
6153,Curt GedaSteven E. GordonBob Richardson(supervising),Aaron Eckhart
6154,Carlos Saldanha,Vin Diesel
6155,Robert Towne,Denzel Washington
6156,James McTeigue,Presley Chweneyagae
6157,Andy Fickman,Emma Roberts
6158,Jason Reitman,Warwick Davis
6159,Sidney Lumet,Warwick Davis
6160,Spike Lee,Warwick Davis
6161,Gavin Hood,Janne Hyytiäinen
6162,Elizabeth Allen Rosenbaum,Ted Levine
6163,Rodman Flender,Tim Allen
6164,Brian Trenchard-Smith,Rupert Murray
6165,Brian Trenchard-Smith,Ulrich Mühe
6166,Aki Kaurismäki,Jô Shishido
6167,Alexandre Aja,Antonio Banderas
6168,Brian Robbins,Daniel Johnston
6169,Rupert Murray,Nadine Nortier
6170,Florian Henckel von Donnersmarck,Josh Hartnett
6171,Seijun Suzuki,Penélope Cruz
6172,Liz Friedlander,Angela Bassett
6173,Jeff Feuerzeig,Rodrigo Santoro
6174,Robert Bresson,Jon Foster
6175,Paul McGuigan,Sharon Stone
6176,Pedro Almodóvar,Joseph Gordon-Levitt
6177,Doug Atchison,Eric Clawson
6178,Laís Bodanzky,Emily Booth
6179,William Brent Bell,Kirby Dick
6180,Michael Caton-Jones,Nathan Fillion
6181,Rian Johnson,David Spade
6182,Dave Parker,Daniel Craig
6183,Jake West,Henry Hübchen
6184,Kirby Dick,Jennifer Aniston
6185,James Gunn,Kristen Bell
6186,Dennis Dugan,Heath Ledger
6187,Christian Volckman,Werner Krauss
6188,Dani Levy,Jérémie Renier
6189,Nicole Holofcener,Tony Benatatos
6190,Andy Fickman,Anna Faris
6191,Neil Armfield,Patrick Wilson
6192,Georg Wilhelm Pabst,Lily Tomlin
6193,Jean-Pierre DardenneLuc Dardenne,Michael Douglas
6194,James HanlonGédéon NaudetJules Naudet,Kiefer Sutherland
6195,David Zucker,Radha Mitchell
6196,David Slade,Hugh Grant
6197,Robert Altman,Chiwetel Ejiofor
6198,Clark Johnson,Tony Jaa
6199,Steve 'Spaz' Williams,Tom Cruise
6200,Christophe Gans,Robin Williams
6201,Paul Weitz,David Alan Basche
6202,Julian Jarrold,Missy Peregrym
6203,Prachya Pinkaew,Donald Sutherland
6204,J.J. Abrams,Edward Norton
6205,Barry Sonnenfeld,Bruce Willis
6206,Paul Greengrass,Max Minghella
6207,Jessica Bendinger,Richard Dreyfuss
6208,Courtney Solomon,Tom Hanks
6209,David Jacobson,Patrick Stewart
6210,Tim JohnsonKarey Kirkpatrick,Jennifer Aniston
6211,Terry Zwigoff,Scott Mechlowicz
6212,Wolfgang Petersen,Owen Wilson
6213,Ron Howard,Gretchen Mol
6214,Brett Ratner,Michael Keaton
6215,Peyton Reed,Peter Mullan
6216,Victor Salva,Liev Schreiber
6217,John LasseterJoe Ranft,Jack Black
6218,Mary Harron,Keanu Reeves
6219,Michael Hoffman,Adam Sandler
6220,Gaby Dellal,Anne Hathaway
6221,John Moore,Johnny Depp
6222,Jared Hess,Kate Hudson
6223,Alejandro Agresti,Brian O'Halloran
6224,Frank Coraci,Paul Giamatti
6225,David Frankel,Uma Thurman
6226,Gore Verbinski,Kirsten Dunst
6227,Anthony RussoJoe Russo,Martin Sheen
6228,Kevin Smith,Al Gore
6229,M. Night Shyamalan,Frank Whaley
6230,Ivan Reitman,Zac Efron
6231,Sofia Coppola,Caveh Zahedi
6232,Chris Paine,Leo Gregory
6233,Davis Guggenheim,Jet Li
6234,Bryan Gordon,Lucas Black
6235,Kenny Ortega,Breckin Meyer
6236,Caveh Zahedi,Tom Araya
